date,Type icon,Type color,type,file name,city,country,coordinates,map link,coord link
2024-10-13T16:50:00,bed,green,[[hotel]],InterContinental Sanctuary Cove Resort,[[Gold Coast]],[[Australia]],"-27.851978368290478, 153.36045235035405",https://www.google.com/maps/search/InterContinental+Sanctuary+Cove+Resort+Gold+Coast+Australia,"https://www.google.com/maps/search/-27.851978368290478, 153.36045235035405"
2024-10-12T12:44:00,utensils,red,[[restaurant]],George's Cocktail Bar Cafe,[[Gold Coast]],[[Australia]],"-27.85287004373611, 153.36321041463975",https://www.google.com/maps/search/George's+Cocktail+Bar+Cafe+Gold+Coast+Australia,"https://www.google.com/maps/search/-27.85287004373611, 153.36321041463975"
2024-07-20T11:32:00,tree-pine,gold,[[sanctuary]],Currumbin Wildlife Sanctuary,[[Gold Coast]],[[Australia]],"-28.135319285427016, 153.4891404717274",https://www.google.com/maps/search/Currumbin+Wildlife+Sanctuary+Gold+Coast+Australia,"https://www.google.com/maps/search/-28.135319285427016, 153.4891404717274"
2024-07-11T09:00:00,landmark,blue,[[landmark]],Surfers Paradise,[[Gold Coast]],[[Australia]],"-27.99819875548149, 153.4244933056981",https://www.google.com/maps/search/Surfers+Paradise+Gold+Coast+Australia,"https://www.google.com/maps/search/-27.99819875548149, 153.4244933056981"
2024-07-09T10:00:00,landmark,blue,[[landmark]],The University of Queensland,[[Brisbane]],[[Australia]],"-27.49671582478791, 153.0128722163042",https://www.google.com/maps/search/The+University+of+Queensland+Brisbane+Australia,"https://www.google.com/maps/search/-27.49671582478791, 153.0128722163042"
2024-04-02T12:39:00,utensils,red,[[restaurant]],Shiva Indian Restaurant,[[Hua Hin]],[[Thailand]],"12.55976492103322, 99.94124943999445",https://www.google.com/maps/search/Shiva+Indian+Restaurant+Hua+Hin+Thailand,"https://www.google.com/maps/search/12.55976492103322, 99.94124943999445"
2024-04-01T19:00:00,store,purple,[[market]],Cicada Market,[[Hua Hin]],[[Thailand]],"12.53470129244849, 99.96640404666117",https://www.google.com/maps/search/Cicada+Market+Hua+Hin+Thailand,"https://www.google.com/maps/search/12.53470129244849, 99.96640404666117"
2024-03-31T15:00:00,bed,green,[[hotel]],Muban Ban Suk Samran,[[Hua Hin]],[[Thailand]],"12.563044900537514, 99.96151961111585",https://www.google.com/maps/search/Muban+Ban+Suk+Samran+Hua+Hin+Thailand,"https://www.google.com/maps/search/12.563044900537514, 99.96151961111585"
2024-03-31T14:26:00,utensils,red,[[restaurant]],ร้านอาหารโกหมาก,[[Hua Hin]],[[Thailand]],"12.598753212621173, 99.94939937160305",https://www.google.com/maps/search/ร้านอาหารโกหมาก+Hua+Hin+Thailand,"https://www.google.com/maps/search/12.598753212621173, 99.94939937160305"
2024-03-31T11:00:00,amphora,pink,[[museum]],For Art's Sake,[[Hua Hin]],[[Thailand]],"12.607076773020262, 99.94898851988168",https://www.google.com/maps/search/For+Art's+Sake+Hua+Hin+Thailand,"https://www.google.com/maps/search/12.607076773020262, 99.94898851988168"
2024-03-03T06:00:00,landmark,blue,[[landmark]],Khao Chon Kai Training Camp,[[Kanchanaburi]],[[Thailand]],"14.134733501594209, 99.39098142179421",https://www.google.com/maps/search/Khao+Chon+Kai+Training+Camp+Kanchanaburi+Thailand,"https://www.google.com/maps/search/14.134733501594209, 99.39098142179421"
2023-04-12T16:00:00,landmark,blue,[[landmark]],Opera House,[[Sydney]],[[Australia]],"-33.856668575427555, 151.21575267549636",https://www.google.com/maps/search/Opera+House+Sydney+Australia,"https://www.google.com/maps/search/-33.856668575427555, 151.21575267549636"
2019-04-13T14:50:00,landmark,blue,[[landmark]],"Eiger, Mönch and Jungfrau",[[Lauterbrunnen]],[[Switzerland]],"46.57483835044853, 7.975742041690927","https://www.google.com/maps/search/Eiger,+Mönch+and+Jungfrau+Lauterbrunnen+Switzerland","https://www.google.com/maps/search/46.57483835044853, 7.975742041690927"
